analysis_id,client_id,project_id,revenue_id,gross_revenue,actual_cost,net_profit,profit_margin_percentage,resource_cost,operational_cost,tax_cost,discount_cost,profitability_score,profitability_band,analysis_date
PRF00214,CLT004,PRJ018,REV00214,2252495,990209,856836.9,46.39,703998,96973,405449.1,14749,82,High,26-03-2026
PRF00215,CLT027,PRJ014,REV00215,2971818,1588212,848678.76,34.83,751168,127425,534927.24,37707,40,Medium,11-03-2026
PRF00216,CLT022,PRJ004,REV00216,3825390,2518313,618506.8,19.72,747983,192229,688570.2,6957,69,Low,23-03-2026
PRF00217,CLT001,PRJ003,REV00217,2325916,1625552,281699.12,14.77,122532,70841,418664.88,32426,99,Low,26-11-2025
PRF00218,CLT034,PRJ010,REV00218,4159854,2488960,922120.28,27.03,865344,250386,748773.72,68251,83,Medium,24-10-2025
PRF00219,CLT040,PRJ008,REV00219,2066292,1427243,267116.44,15.77,788108,346141,371932.56,20715,60,Low,21-05-2026
PRF00220,CLT005,PRJ018,REV00220,1043104,513780,341565.28,39.93,742108,171064,187758.72,78166,54,High,12-02-2026
PRF00221,CLT015,PRJ001,REV00221,716688,536551,51133.16,8.7,878427,401975,129003.84,26585,88,Low,15-10-2025
PRF00222,CLT014,PRJ003,REV00222,3734991,2788063,274629.62,8.97,643899,331998,672298.38,51853,87,Low,22-08-2025
PRF00223,CLT003,PRJ018,REV00223,4379584,3356489,234769.88,6.54,288503,458279,788325.12,76735,100,Low,05-11-2025
PRF00224,CLT035,PRJ005,REV00224,3519186,2086020,799712.52,27.71,841635,251372,633453.48,95272,90,Medium,31-05-2026
PRF00225,CLT033,PRJ020,REV00225,3226586,2444792,201008.52,7.6,103704,376400,580785.48,33175,40,Low,03-11-2025
PRF00226,CLT030,PRJ016,REV00226,4232914,2832969,638020.48,18.38,255457,78869,761924.52,85626,62,Low,12-11-2025
PRF00227,CLT003,PRJ005,REV00227,322060,216248,47841.2,18.12,905843,206916,57970.8,42312,63,Low,23-10-2025
PRF00228,CLT025,PRJ003,REV00228,3634652,2608281,372133.64,12.49,822106,367077,654237.36,92642,58,Low,02-02-2026
PRF00229,CLT028,PRJ020,REV00229,2704898,1626505,591511.36,26.67,147702,225003,486881.64,45829,75,Medium,19-05-2026
PRF00230,CLT014,PRJ001,REV00230,1737680,990379,434518.6,30.49,602381,298774,312782.4,4660,81,Medium,20-02-2026
PRF00231,CLT009,PRJ016,REV00231,3913943,2691679,517754.26,16.13,981578,66343,704509.74,44453,64,Low,27-06-2025
PRF00232,CLT035,PRJ006,REV00232,3317918,1720129,1000563.76,36.78,283514,108841,597225.24,49049,90,High,20-02-2026
PRF00233,CLT003,PRJ007,REV00233,826819,563392,114599.58,16.9,647718,110731,148827.42,538,59,Low,26-11-2025
PRF00234,CLT003,PRJ020,REV00234,780445,486917,153047.9,23.92,265146,193464,140480.1,15002,40,Medium,23-02-2026
PRF00235,CLT040,PRJ018,REV00235,908786,471820,273384.52,36.69,502233,78206,163581.48,11287,67,High,12-10-2025
PRF00236,CLT026,PRJ006,REV00236,3789945,2808484,299270.9,9.63,250703,373455,682190.1,33823,98,Low,30-12-2025
PRF00237,CLT024,PRJ013,REV00237,2820991,1809469,503743.62,21.78,174369,465462,507778.38,39599,74,Medium,02-04-2026
PRF00238,CLT030,PRJ013,REV00238,3518202,1907608,977317.64,33.88,219876,360464,633276.36,78128,69,Medium,14-10-2025
PRF00239,CLT021,PRJ018,REV00239,3784744,1883360,1220130.08,39.31,508926,372737,681253.92,75750,68,High,04-05-2026
PRF00240,CLT013,PRJ007,REV00240,2705814,1710915,507852.48,22.89,132699,173334,487046.52,56585,84,Medium,25-07-2025
PRF00241,CLT038,PRJ013,REV00241,2718645,1890226,339062.9,15.21,610343,394943,489356.1,57243,48,Low,09-10-2025
PRF00242,CLT006,PRJ005,REV00242,3538448,2371740,529787.36,18.26,704349,242397,636920.64,4385,42,Low,27-07-2025
PRF00243,CLT037,PRJ016,REV00243,3141861,1494066,1082260.02,42.01,661023,458172,565534.98,1413,70,High,22-05-2026
PRF00244,CLT030,PRJ017,REV00244,3986206,2798174,470514.92,14.39,608307,93259,717517.08,16622,72,Low,14-11-2025
PRF00245,CLT005,PRJ009,REV00245,1161815,787581,165107.3,17.33,252117,362236,209126.7,20204,93,Low,08-07-2025
PRF00246,CLT032,PRJ014,REV00246,3264237,1804705,871969.34,32.58,839883,254509,587562.66,62205,56,Medium,01-11-2025
PRF00247,CLT010,PRJ017,REV00247,3696815,1503604,1527784.3,50.4,786128,356276,665426.7,51269,69,High,10-01-2026
PRF00248,CLT016,PRJ019,REV00248,1685155,1219271,162556.1,11.76,302458,67847,303327.9,3106,79,Low,19-03-2026
PRF00249,CLT006,PRJ002,REV00249,1868857,1376042,156420.74,10.21,825846,400003,336394.26,42389,56,Low,18-08-2025
PRF00250,CLT011,PRJ003,REV00250,573343,329685,140456.26,29.88,774588,105705,103201.74,57878,85,Medium,22-12-2025
PRF00251,CLT017,PRJ004,REV00251,661693,301593,240995.26,44.42,523533,492524,119104.74,95389,89,High,26-12-2025
PRF00252,CLT005,PRJ018,REV00252,77744,43693,20057.08,31.46,681409,70620,13993.92,50353,82,Medium,18-10-2025
PRF00253,CLT013,PRJ010,REV00253,3322435,1552882,1171514.7,43,974774,475605,598038.3,58891,41,High,01-02-2026
PRF00254,CLT003,PRJ011,REV00254,2882988,1242983,1121067.16,47.42,280616,381696,518937.84,6548,97,High,21-09-2025
PRF00255,CLT020,PRJ004,REV00255,1481846,659802,555311.72,45.7,281873,225900,266732.28,8286,47,High,23-11-2025
PRF00256,CLT018,PRJ005,REV00256,3532566,1765454,1131250.12,39.05,783415,361285,635861.88,37189,66,High,12-01-2026
PRF00257,CLT031,PRJ005,REV00257,1250307,835574,189677.74,18.5,301224,111607,225055.26,69494,46,Low,19-05-2026
PRF00258,CLT040,PRJ012,REV00258,4577523,2895399,858169.86,22.86,555786,181796,823954.14,43816,79,Medium,24-07-2025
PRF00259,CLT030,PRJ002,REV00259,490037,336879,64951.34,16.16,348636,436792,88206.66,54079,95,Low,07-05-2026
PRF00260,CLT013,PRJ013,REV00260,1901053,837522,721341.46,46.27,133653,412917,342189.54,74536,43,High,14-11-2025
PRF00261,CLT018,PRJ005,REV00261,3955184,2543782,699468.88,21.57,548906,435969,711933.12,32329,55,Medium,14-10-2025
PRF00262,CLT021,PRJ014,REV00262,1915681,1386789,184069.42,11.72,685616,444830,344822.58,1628,84,Low,23-10-2025
PRF00263,CLT027,PRJ007,REV00263,3056524,1842926,663423.68,26.47,174132,251787,550174.32,90538,61,Medium,05-09-2025
PRF00264,CLT034,PRJ002,REV00264,3622727,2014879,955757.14,32.17,484232,141890,652090.86,84957,75,Medium,23-12-2025
PRF00265,CLT005,PRJ018,REV00265,1767253,852030,597117.46,41.2,625808,326133,318105.54,16083,70,High,09-10-2025
PRF00266,CLT035,PRJ018,REV00266,2501691,1474609,576777.62,28.12,255141,310219,450304.38,19726,95,Medium,12-04-2026
PRF00267,CLT014,PRJ017,REV00267,240339,134561,62516.98,31.72,798199,415357,43261.02,69489,93,Medium,04-04-2026
PRF00268,CLT036,PRJ015,REV00268,2600827,1635136,497542.14,23.33,980103,421254,468148.86,90814,97,Medium,16-10-2025
PRF00269,CLT010,PRJ006,REV00269,1030773,433884,411349.86,48.67,905849,126223,185539.14,60036,99,High,03-06-2026
PRF00270,CLT021,PRJ005,REV00270,4631401,2916673,881075.82,23.2,196973,221110,833652.18,7213,78,Medium,31-10-2025
PRF00271,CLT013,PRJ019,REV00271,1913477,1056817,512234.14,32.65,995278,274206,344425.86,48448,64,Medium,25-02-2026
PRF00272,CLT024,PRJ001,REV00272,2943400,1914204,499384,20.69,169327,359685,529812,99105,64,Medium,11-03-2026
PRF00273,CLT006,PRJ001,REV00273,2342848,1371788,549347.36,28.59,261505,187718,421712.64,39343,80,Medium,11-10-2025
PRF00274,CLT031,PRJ004,REV00274,2463310,1422744,597170.2,29.56,868561,351603,443395.8,2299,94,Medium,31-01-2026
PRF00275,CLT017,PRJ006,REV00275,540820,254636,188836.4,42.58,727847,444594,97347.6,21906,74,High,28-11-2025
PRF00276,CLT021,PRJ011,REV00276,2575577,1314875,797098.14,37.74,743226,411576,463603.86,68898,94,High,11-10-2025
PRF00277,CLT035,PRJ018,REV00277,1006022,621217,203721.04,24.7,234966,499217,181083.96,90995,49,Medium,02-01-2026
PRF00278,CLT015,PRJ010,REV00278,1810273,860652,623771.86,42.02,169465,208149,325849.14,87501,40,High,01-12-2025
PRF00279,CLT007,PRJ004,REV00279,1773030,1325358,128526.6,8.84,280117,445322,319145.4,70402,40,Low,19-04-2026
PRF00280,CLT007,PRJ007,REV00280,4279496,3196070,313116.72,8.92,644973,121257,770309.28,64987,88,Low,10-09-2025
PRF00281,CLT024,PRJ010,REV00281,390649,177819,142513.18,44.49,615530,402371,70316.82,13785,65,High,28-11-2025
PRF00282,CLT029,PRJ017,REV00282,763081,367736,257990.42,41.23,386232,446520,137354.58,84388,100,High,02-11-2025
PRF00283,CLT026,PRJ012,REV00283,3442718,2393226,429802.76,15.22,442838,130077,619689.24,39682,79,Low,15-08-2025
PRF00284,CLT040,PRJ004,REV00284,691873,549351,17984.86,3.17,994303,247308,124537.14,58006,69,Low,16-01-2026
PRF00285,CLT003,PRJ002,REV00285,4719657,3270747,599371.74,15.49,995852,131951,849538.26,66412,43,Low,19-12-2025
PRF00286,CLT026,PRJ009,REV00286,3219196,2027477,612263.72,23.19,779564,213630,579455.28,77664,45,Medium,13-04-2026
PRF00287,CLT005,PRJ010,REV00287,2881945,1508830,854364.9,36.15,947591,306040,518750.1,13114,84,High,26-10-2025
PRF00288,CLT014,PRJ011,REV00288,4267528,3408760,90612.96,2.59,985194,353139,768155.04,12416,77,Low,24-07-2025
PRF00289,CLT022,PRJ009,REV00289,4801544,3600825,336441.08,8.55,837496,320650,864277.92,24450,76,Low,19-11-2025
PRF00290,CLT032,PRJ007,REV00290,3969957,2149884,1105480.74,33.96,970542,83778,714592.26,83090,53,Medium,14-09-2025
PRF00291,CLT027,PRJ009,REV00291,2457904,1660585,354896.28,17.61,385959,121528,442422.72,3819,56,Low,15-01-2026
PRF00292,CLT018,PRJ018,REV00292,404270,289068,42433.4,12.8,349641,364479,72768.6,16027,89,Low,04-10-2025
PRF00293,CLT021,PRJ011,REV00293,4951683,3526769,533611.06,13.14,544366,298960,891302.94,89487,55,Low,15-02-2026
PRF00294,CLT018,PRJ005,REV00294,4036449,3115450,194438.18,5.87,108248,256032,726560.82,33493,59,Low,04-08-2025
PRF00295,CLT006,PRJ008,REV00295,1814849,893949,594227.18,39.93,169591,234474,326672.82,55164,78,High,07-11-2025
PRF00296,CLT036,PRJ011,REV00296,279435,211647,17489.7,7.63,601602,435441,50298.3,17499,56,Low,29-07-2025
PRF00297,CLT012,PRJ019,REV00297,2797943,1710148,584165.26,25.46,520515,374012,503629.74,56217,78,Medium,04-06-2025
PRF00298,CLT017,PRJ005,REV00298,3136337,1611307,960489.34,37.35,729232,163018,564540.66,37089,86,High,18-04-2026
PRF00299,CLT013,PRJ014,REV00299,3476948,1696843,1154254.36,40.48,543852,435930,625850.64,78275,56,High,19-04-2026
PRF00300,CLT005,PRJ004,REV00300,542850,230801,214336,48.15,372935,139058,97713,66027,71,High,03-06-2025
PRF00301,CLT022,PRJ015,REV00301,802021,487173,170484.22,25.92,615138,450385,144363.78,19826,75,Medium,07-12-2025
PRF00302,CLT029,PRJ002,REV00302,1296721,547296,516015.22,48.53,198123,156815,233409.78,37239,51,High,22-11-2025
PRF00303,CLT011,PRJ017,REV00303,2338341,1525943,391496.62,20.42,211222,488817,420901.38,42406,49,Medium,02-06-2026
PRF00304,CLT002,PRJ003,REV00304,4075316,2582349,759410.12,22.72,286657,175871,733556.88,52286,45,Medium,20-09-2025
PRF00305,CLT002,PRJ007,REV00305,3308998,2167485,545893.36,20.12,506941,299791,595619.64,35190,76,Medium,28-05-2026
PRF00306,CLT039,PRJ014,REV00306,3594491,2210042,737440.62,25.02,255825,116998,647008.38,89694,97,Medium,03-05-2026
PRF00307,CLT020,PRJ008,REV00307,3638074,2074898,908322.68,30.45,793715,292681,654853.32,23534,90,Medium,04-01-2026
PRF00308,CLT012,PRJ013,REV00308,748691,517711,96215.62,15.67,106131,257059,134764.38,15293,40,Low,03-06-2026
PRF00309,CLT011,PRJ016,REV00309,3448154,2641510,185976.28,6.58,353524,278478,620667.72,82058,94,Low,08-03-2026
PRF00310,CLT035,PRJ007,REV00310,2574282,1836823,274088.24,12.98,207650,380516,463370.76,93466,67,Low,12-12-2025
PRF00311,CLT027,PRJ016,REV00311,4904162,3211230,810182.84,20.15,537400,298165,882749.16,15327,71,Medium,08-05-2026
PRF00312,CLT040,PRJ012,REV00312,3709362,1527379,1514297.84,49.78,317273,198088,667685.16,90531,87,High,11-04-2026
PRF00313,CLT006,PRJ016,REV00313,1503671,810642,422368.22,34.26,551538,109752,270660.78,80945,54,Medium,19-09-2025
PRF00314,CLT008,PRJ018,REV00314,4129927,2192662,1193878.14,35.25,275160,380262,743386.86,15474,95,High,28-04-2026
PRF00315,CLT014,PRJ012,REV00315,2500505,1742765,307649.1,15,279581,94687,450090.9,34867,63,Low,25-05-2026
PRF00316,CLT027,PRJ012,REV00316,2108994,1002572,726803.08,42.03,164454,256184,379618.92,99508,42,High,26-07-2025
PRF00317,CLT010,PRJ019,REV00317,4410216,2384265,1232112.12,34.07,524154,456533,793838.88,25859,96,Medium,27-06-2025
PRF00318,CLT020,PRJ003,REV00318,4558318,2524809,1213011.76,32.45,861800,271640,820497.24,66227,47,Medium,06-06-2025
PRF00319,CLT004,PRJ012,REV00319,4307213,2466269,1065645.66,30.17,873337,179831,775298.34,13792,60,Medium,09-04-2026
PRF00320,CLT034,PRJ019,REV00320,3080531,2184968,341067.42,13.5,623058,383688,554495.58,55498,68,Low,27-05-2026
PRF00321,CLT032,PRJ014,REV00321,1416024,717766,443373.68,38.18,699538,201828,254884.32,5279,73,High,11-02-2026
PRF00322,CLT010,PRJ004,REV00322,2607892,2082315,56156.44,2.63,537859,302275,469420.56,75112,59,Low,04-08-2025
PRF00323,CLT037,PRJ015,REV00323,2883866,1944813,419957.12,17.76,803011,282310,519095.88,96457,57,Low,28-10-2025
PRF00324,CLT006,PRJ006,REV00324,258071,178200,33418.22,15.79,119570,113063,46452.78,86278,99,Low,24-07-2025
PRF00325,CLT035,PRJ006,REV00325,2356552,1767594,164778.64,8.53,432799,250283,424179.36,33708,45,Low,31-10-2025
PRF00326,CLT008,PRJ004,REV00326,1460594,883449,314238.08,26.24,370463,246877,262906.92,15855,43,Medium,28-08-2025
PRF00327,CLT013,PRJ008,REV00327,4965968,2482344,1589749.76,39.04,807890,103220,893874.24,32285,88,High,25-05-2026
PRF00328,CLT036,PRJ005,REV00328,4816789,2779723,1170043.98,29.62,163098,302804,867022.02,35822,78,Medium,28-04-2026
PRF00329,CLT017,PRJ013,REV00329,1834711,1347467,156996.02,10.44,374056,444628,330247.98,92766,68,Low,01-01-2026
PRF00330,CLT018,PRJ008,REV00330,2748097,1815687,437752.54,19.43,925549,390313,494657.46,85362,44,Low,21-12-2025
PRF00331,CLT035,PRJ001,REV00331,3784413,2923566,179652.66,5.79,194336,477966,681194.34,80405,80,Low,15-07-2025
PRF00332,CLT020,PRJ008,REV00332,4192367,2438210,999530.94,29.08,234476,441104,754626.06,8526,48,Medium,06-05-2026
PRF00333,CLT017,PRJ019,REV00333,1962310,1333413,275681.2,17.13,642383,447945,353215.8,5697,96,Low,11-06-2025
PRF00334,CLT015,PRJ002,REV00334,3573736,2546039,384424.52,13.12,603281,276465,643272.48,3148,77,Low,13-07-2025
PRF00335,CLT022,PRJ009,REV00335,954632,630142,152656.24,19.5,168187,460332,171833.76,16716,43,Low,24-03-2026
PRF00336,CLT029,PRJ002,REV00336,3672528,1606983,1404489.96,46.64,782540,404301,661055.04,3404,69,High,13-04-2026
PRF00337,CLT034,PRJ011,REV00337,1664650,779113,585900,42.92,426806,356458,299637,57127,72,High,31-03-2026
PRF00338,CLT023,PRJ010,REV00338,4589442,3462108,301234.44,8,458143,149276,826099.56,87537,70,Low,29-12-2025
PRF00339,CLT030,PRJ020,REV00339,2827849,1835070,483766.18,20.86,494172,157644,509012.82,52469,51,Medium,06-01-2026
PRF00340,CLT001,PRJ012,REV00340,668501,455035,93135.82,16.99,122536,142315,120330.18,34313,98,Low,15-10-2025
PRF00341,CLT007,PRJ001,REV00341,1201282,679176,305875.24,31.05,933511,149426,216230.76,25124,74,Medium,20-11-2025
PRF00342,CLT025,PRJ012,REV00342,3653244,2795385,200275.08,6.69,633320,253484,657583.92,98475,96,Low,13-04-2026
PRF00343,CLT033,PRJ012,REV00343,4402784,2734752,875530.88,24.25,329212,210431,792501.12,55708,96,Medium,07-06-2025
PRF00344,CLT025,PRJ019,REV00344,3188239,1809081,805274.98,30.8,386281,250472,573883.02,3239,51,Medium,04-01-2026
PRF00345,CLT029,PRJ008,REV00345,686598,462907,100103.36,17.78,417420,440705,123587.64,89592,94,Low,07-05-2026
PRF00346,CLT018,PRJ007,REV00346,1206496,930863,58463.72,5.91,345076,320441,217169.28,76939,90,Low,14-06-2025
PRF00347,CLT036,PRJ015,REV00347,3920513,2282619,932201.66,29,336444,269753,705692.34,55799,83,Medium,12-07-2025
PRF00348,CLT026,PRJ018,REV00348,2785353,1162878,1121111.46,49.09,209380,403834,501363.54,72470,51,High,29-11-2025
PRF00349,CLT003,PRJ020,REV00349,275137,134524,91088.34,40.37,235410,331255,49524.66,54842,70,High,01-10-2025
PRF00350,CLT005,PRJ013,REV00350,1782077,849073,612230.14,41.9,946794,179415,320773.86,68925,61,High,29-11-2025
PRF00351,CLT037,PRJ016,REV00351,3931370,2780785,442938.4,13.74,145785,175669,707646.6,20700,57,Low,06-03-2026
PRF00352,CLT035,PRJ010,REV00352,609888,426943,73165.16,14.63,176751,384950,109779.84,91027,83,Low,04-02-2026
PRF00353,CLT030,PRJ013,REV00353,3399922,1767661,1020275.04,36.6,982442,134602,611985.96,22359,93,High,20-09-2025
PRF00354,CLT002,PRJ020,REV00354,1536768,923140,337009.76,26.74,150075,488567,276618.24,83203,91,Medium,29-08-2025
PRF00355,CLT034,PRJ004,REV00355,2636411,1985671,176186.02,8.15,935635,487982,474553.98,87046,50,Low,25-04-2026
PRF00356,CLT011,PRJ002,REV00356,4349162,1965493,1600819.84,44.89,323103,290530,782849.16,28848,44,High,06-06-2025
PRF00357,CLT018,PRJ020,REV00357,418586,185084,158156.52,46.08,118506,369046,75345.48,76681,68,High,01-06-2026
PRF00358,CLT025,PRJ017,REV00358,1999726,1327764,312011.32,19.03,259038,247000,359950.68,26789,81,Low,17-04-2026
PRF00359,CLT003,PRJ008,REV00359,3772245,2198210,895030.9,28.94,646802,218630,679004.1,24057,68,Medium,20-06-2025
PRF00360,CLT001,PRJ003,REV00360,4174194,1816446,1606393.08,46.93,735281,180531,751354.92,39728,58,High,20-11-2025
PRF00361,CLT037,PRJ015,REV00361,1739474,980855,445513.68,31.23,260221,339853,313105.32,95243,51,Medium,26-03-2026
PRF00362,CLT017,PRJ013,REV00362,2615632,1521889,622929.24,29.04,613331,211381,470813.76,84023,77,Medium,20-03-2026
PRF00363,CLT005,PRJ014,REV00363,375703,182912,125164.46,40.63,761601,420440,67626.54,88660,41,High,19-12-2025
PRF00364,CLT010,PRJ009,REV00364,3870765,2976605,197422.3,6.22,416900,312483,696737.7,69887,82,Low,04-10-2025
PRF00365,CLT025,PRJ019,REV00365,3502826,1587511,1284806.32,44.73,786315,201173,630508.68,96081,67,High,24-08-2025
PRF00366,CLT011,PRJ006,REV00366,1613636,786311,536870.52,40.57,496077,115369,290454.48,36275,44,High,15-02-2026
PRF00367,CLT022,PRJ001,REV00367,2019478,1308902,347069.96,20.96,550314,226449,363506.04,48599,83,Medium,11-02-2026
PRF00368,CLT022,PRJ011,REV00368,2059885,1202710,486395.7,28.8,748388,409758,370779.3,86360,95,Medium,25-11-2025
PRF00369,CLT031,PRJ017,REV00369,1626512,653885,679854.84,50.97,736667,152276,292772.16,93315,49,High,11-12-2025
PRF00370,CLT034,PRJ019,REV00370,4283198,1779854,1732368.36,49.32,130641,134009,770975.64,42795,97,High,28-11-2025
PRF00371,CLT025,PRJ009,REV00371,2211144,1582738,230400.08,12.71,371679,110654,398005.92,38138,45,Low,11-09-2025
PRF00372,CLT008,PRJ003,REV00372,1628370,773094,562169.4,42.1,109634,332220,293106.6,60372,60,High,14-02-2026
PRF00373,CLT010,PRJ010,REV00373,1886301,1278632,268134.82,17.34,949566,224663,339534.18,20014,92,Low,22-01-2026
PRF00374,CLT014,PRJ008,REV00374,490958,243312,159273.56,39.56,304568,417582,88372.44,71828,65,High,27-01-2026
PRF00375,CLT007,PRJ005,REV00375,4918611,3783274,249987.02,6.2,811267,461827,885349.98,19346,64,Low,13-03-2026
PRF00376,CLT028,PRJ006,REV00376,522542,234194,194290.44,45.34,957939,390950,94057.56,50082,57,High,03-04-2026
PRF00377,CLT029,PRJ012,REV00377,1056636,483800,382641.52,44.16,204271,220513,190194.48,8322,85,High,21-12-2025
PRF00378,CLT035,PRJ006,REV00378,215644,137872,38956.08,22.03,141044,117536,38815.92,75377,53,Medium,18-04-2026
PRF00379,CLT011,PRJ003,REV00379,2203863,1671194,135973.66,7.52,735617,332176,396695.34,66924,53,Low,30-10-2025
PRF00380,CLT007,PRJ002,REV00380,358146,192560,101119.72,34.43,366526,404694,64466.28,55750,100,Medium,03-04-2026
PRF00381,CLT010,PRJ018,REV00381,641883,421790,104554.06,19.86,657286,107666,115538.94,89650,75,Low,14-04-2026
PRF00382,CLT027,PRJ003,REV00382,796369,508768,144254.58,22.09,834480,349975,143346.42,36961,75,Medium,09-03-2026
PRF00383,CLT018,PRJ020,REV00383,452345,225698,145224.9,39.15,915297,180606,81422.1,88895,78,High,06-08-2025
PRF00384,CLT027,PRJ015,REV00384,3732263,2235299,825156.66,26.96,188693,439760,671807.34,37467,75,Medium,05-02-2026
PRF00385,CLT032,PRJ001,REV00385,4317136,3259447,280604.52,7.93,276718,403643,777084.48,68618,97,Low,06-05-2026
PRF00386,CLT015,PRJ006,REV00386,3129046,1531207,1034610.72,40.32,328026,209813,563228.28,84275,72,High,25-02-2026
PRF00387,CLT003,PRJ015,REV00387,4145875,1778929,1620688.5,47.67,639302,130588,746257.5,53833,47,High,06-10-2025
PRF00388,CLT032,PRJ001,REV00388,2148282,1096390,665201.24,37.76,298775,199369,386690.76,5276,48,High,10-04-2026
PRF00389,CLT026,PRJ014,REV00389,2828420,1197651,1121653.4,48.36,931219,61089,509115.6,16531,49,High,28-05-2026
PRF00390,CLT023,PRJ017,REV00390,2033947,868145,799691.54,47.95,903972,110303,366110.46,34541,84,High,24-04-2026
PRF00391,CLT016,PRJ014,REV00391,4025301,3091675,209071.82,6.33,527082,325236,724554.18,40166,84,Low,08-12-2025
PRF00392,CLT015,PRJ008,REV00392,3624183,2454618,517212.06,17.4,393768,367992,652352.94,13207,67,Low,11-05-2026
PRF00393,CLT012,PRJ009,REV00393,3099940,1941016,600934.8,23.64,191468,105766,557989.2,17102,80,Medium,24-06-2025
PRF00394,CLT039,PRJ004,REV00394,4970434,3901146,174609.88,4.28,677236,423084,894678.12,33099,97,Low,15-03-2026
PRF00395,CLT036,PRJ012,REV00395,3120331,2188667,370004.42,14.46,178628,136779,561659.58,57376,88,Low,07-01-2026
PRF00396,CLT033,PRJ013,REV00396,3323628,2170092,555282.96,20.37,147828,329742,598253.04,31223,58,Medium,07-04-2026
PRF00397,CLT003,PRJ005,REV00397,2379990,1091426,860165.8,44.08,741185,204610,428398.2,42550,43,High,27-02-2026
PRF00398,CLT001,PRJ012,REV00398,2396208,1143803,821087.56,41.79,709918,380196,431317.44,98683,65,High,19-12-2025
PRF00399,CLT010,PRJ015,REV00399,3689846,2249032,776641.72,25.67,172827,125247,664172.28,9443,67,Medium,22-09-2025
PRF00400,CLT016,PRJ015,REV00400,3426450,1580785,1228904,43.74,930892,54926,616761,13938,74,High,25-03-2026
PRF00401,CLT022,PRJ003,REV00401,1217946,739059,259656.72,26,207548,318195,219230.28,54432,49,Medium,13-08-2025
PRF00402,CLT001,PRJ008,REV00402,1951488,1228478,371742.16,23.23,145452,366935,351267.84,19805,51,Medium,03-04-2026
PRF00403,CLT028,PRJ017,REV00403,1571403,1074462,214088.46,16.61,509573,284197,282852.54,94547,90,Low,12-02-2026
PRF00404,CLT031,PRJ003,REV00404,4897297,2855352,1160431.54,28.9,621249,332458,881513.46,69962,71,Medium,12-05-2026
PRF00405,CLT035,PRJ018,REV00405,1980340,1195446,428432.8,26.38,989980,495293,356461.2,18264,58,Medium,25-04-2026
PRF00406,CLT030,PRJ005,REV00406,4676320,2753590,1080992.4,28.19,131652,127010,841737.6,47873,49,Medium,25-01-2026
PRF00407,CLT006,PRJ008,REV00407,154670,99169,27660.4,21.81,887619,141006,27840.6,65967,50,Medium,05-02-2026
PRF00408,CLT001,PRJ013,REV00408,3603588,2867296,87646.16,2.97,292616,481229,648645.84,97779,75,Low,27-05-2026
PRF00409,CLT039,PRJ003,REV00409,3979526,2593024,670187.32,20.54,667875,105818,716314.68,8561,53,Medium,02-01-2026
PRF00410,CLT039,PRJ001,REV00410,2643087,1450961,716370.34,33.05,429748,444181,475755.66,51202,86,Medium,24-08-2025
PRF00411,CLT023,PRJ005,REV00411,866881,520458,190384.42,26.78,946699,407281,156038.58,85749,49,Medium,05-02-2026
PRF00412,CLT011,PRJ017,REV00412,4439650,3387806,252707,6.94,936116,459702,799137,11425,71,Low,07-11-2025
PRF00413,CLT007,PRJ015,REV00413,1473694,899444,308985.08,25.57,520415,264451,265264.92,81223,98,Medium,18-02-2026
PRF00414,CLT009,PRJ015,REV00414,4348987,3049542,516627.34,14.49,697828,259337,782817.66,9565,54,Low,26-06-2025
PRF00415,CLT025,PRJ015,REV00415,834361,516687,167489.02,24.48,609917,161482,150184.98,92050,87,Medium,09-11-2025
PRF00416,CLT031,PRJ004,REV00416,3863282,1625595,1542296.24,48.69,766566,142330,695390.76,10956,49,High,26-08-2025
PRF00417,CLT005,PRJ009,REV00417,735425,450584,152464.5,25.28,921934,134247,132376.5,91316,67,Medium,17-06-2025
PRF00418,CLT023,PRJ019,REV00418,133311,90083,19232.02,17.59,103855,286222,23995.98,16478,80,Low,05-04-2026
PRF00419,CLT029,PRJ019,REV00419,356066,199736,92238.12,31.59,578148,267083,64091.88,53790,62,Medium,27-04-2026
PRF00420,CLT023,PRJ018,REV00420,4438666,3379957,259749.12,7.14,781180,58612,798959.88,80774,99,Low,26-11-2025
PRF00421,CLT027,PRJ004,REV00421,4619557,2056912,1731124.74,45.7,838024,461374,831520.26,97144,65,High,25-08-2025
PRF00422,CLT001,PRJ012,REV00422,1928516,1303622,277761.12,17.56,699982,275454,347132.88,31697,75,Low,31-03-2026
PRF00423,CLT026,PRJ007,REV00423,3349388,1447928,1298570.16,47.28,438065,156830,602889.84,12223,45,High,08-09-2025
PRF00424,CLT002,PRJ014,REV00424,1333864,562714,531054.48,48.55,186993,125376,240095.52,82239,41,High,31-10-2025
PRF00425,CLT038,PRJ004,REV00425,3901442,2810257,388925.44,12.16,820724,270152,702259.56,49185,96,Low,31-08-2025
PRF00426,CLT021,PRJ015,REV00426,1401435,749114,400062.7,34.81,735553,65495,252258.3,70248,41,Medium,24-09-2025
PRF00427,CLT034,PRJ017,REV00427,1327971,758001,330935.22,30.39,302432,181120,239034.78,22670,52,Medium,30-09-2025
PRF00428,CLT018,PRJ013,REV00428,4945996,3641760,413956.72,10.21,275373,67699,890279.28,67024,56,Low,28-03-2026
