forecast_id,client_id,project_id,forecast_period,predicted_revenue,expected_growth_percentage,forecast_confidence_score,forecast_category,forecast_created_date,forecast_owner
FRC00259,CLT030,PRJ002,Jul-26,585848,32.13,74,Optimistic,27-04-2026,Gabriel Young
FRC00260,CLT013,PRJ013,Feb-26,2503965,14.06,81,Optimistic,04-11-2025,Brandy Brown
FRC00261,CLT018,PRJ005,Jan-26,4413811,30.62,60,Conservative,04-10-2025,Jamie Collins
FRC00262,CLT021,PRJ014,Jan-26,2251560,38.9,75,Optimistic,13-10-2025,Madison Price
FRC00263,CLT027,PRJ007,Nov-25,3223957,44.94,60,Conservative,26-08-2025,Megan Lyons
FRC00264,CLT034,PRJ002,Mar-26,4028993,19.51,62,Realistic,13-12-2025,Ashley Garcia
FRC00265,CLT005,PRJ018,Dec-25,2199720,17.38,88,Realistic,29-09-2025,Glenn Walls
FRC00266,CLT035,PRJ018,Jul-26,3336279,32.99,67,Conservative,02-04-2026,Brian Schroeder
FRC00267,CLT014,PRJ017,Jun-26,261875,17.49,91,Conservative,25-03-2026,Kyle Frazier
FRC00268,CLT036,PRJ015,Jan-26,2864865,32.36,71,Optimistic,06-10-2025,Julie Phillips
FRC00269,CLT010,PRJ006,Aug-26,1162837,-7.41,85,Realistic,24-05-2026,Trevor Hansen
FRC00270,CLT021,PRJ005,Jan-26,5521432,27.33,88,Realistic,21-10-2025,Wesley Evans
FRC00271,CLT013,PRJ019,May-26,2496772,-9.98,69,Conservative,15-02-2026,Sandra Townsend
FRC00272,CLT024,PRJ001,May-26,3167921,37.46,93,Realistic,01-03-2026,Sarah Alexander
FRC00273,CLT006,PRJ001,Dec-25,2859152,12.73,61,Optimistic,01-10-2025,Charles Curtis
FRC00274,CLT031,PRJ004,Apr-26,3062967,39.41,83,Conservative,21-01-2026,Jonathan Yu
FRC00275,CLT017,PRJ006,Feb-26,589844,37.7,71,Optimistic,18-11-2025,Valerie Hicks
FRC00276,CLT021,PRJ011,Dec-25,2778403,26.3,72,Conservative,01-10-2025,Brian Graham
FRC00277,CLT035,PRJ018,Mar-26,1095929,-8.01,67,Optimistic,23-12-2025,Courtney Perry
FRC00278,CLT015,PRJ010,Feb-26,2326579,26.45,76,Optimistic,21-11-2025,Joseph Martinez
FRC00279,CLT007,PRJ004,Jul-26,1877244,25.24,72,Realistic,09-04-2026,Benjamin Ramirez
FRC00280,CLT007,PRJ007,Nov-25,4731144,26.89,89,Optimistic,31-08-2025,Ryan Vargas
FRC00281,CLT024,PRJ010,Feb-26,443419,-8.06,60,Conservative,18-11-2025,Corey Warner
FRC00282,CLT029,PRJ017,Jan-26,936427,9.04,97,Conservative,23-10-2025,Jason Foster
FRC00283,CLT026,PRJ012,Nov-25,4084407,-6.16,98,Conservative,05-08-2025,Judy Guerra
FRC00284,CLT040,PRJ004,Apr-26,787399,12.96,88,Realistic,06-01-2026,John Campbell
FRC00285,CLT003,PRJ002,Mar-26,5955347,3.18,90,Conservative,09-12-2025,Austin Hays
FRC00286,CLT026,PRJ009,Jul-26,3950401,-11.31,75,Optimistic,03-04-2026,Dr. Maria Dougherty
FRC00287,CLT005,PRJ010,Jan-26,3424536,4.57,96,Optimistic,16-10-2025,Kathryn Wilkinson
FRC00288,CLT014,PRJ011,Oct-25,5268042,5.37,65,Conservative,14-07-2025,Kevin Hernandez
FRC00289,CLT022,PRJ009,Feb-26,5541917,10.63,61,Conservative,09-11-2025,Suzanne Carter
FRC00290,CLT032,PRJ007,Dec-25,5184098,33.54,86,Realistic,04-09-2025,Paul Perkins
FRC00291,CLT027,PRJ009,Apr-26,2754914,26.21,72,Optimistic,05-01-2026,Wendy Miller
FRC00292,CLT018,PRJ018,Dec-25,434662,36.58,91,Optimistic,24-09-2025,Nicole Brown
FRC00293,CLT021,PRJ011,May-26,5549754,29.9,80,Conservative,05-02-2026,Nicole Keller
FRC00294,CLT018,PRJ005,Oct-25,5019805,3.49,88,Realistic,25-07-2025,Leslie Morton
FRC00295,CLT006,PRJ008,Jan-26,2347823,4.03,76,Conservative,28-10-2025,John Brown
FRC00296,CLT036,PRJ011,Oct-25,346233,23.5,80,Realistic,19-07-2025,Edward King
FRC00297,CLT012,PRJ019,Aug-25,3090514,9.87,70,Optimistic,25-05-2025,Melanie Shaw
FRC00298,CLT017,PRJ005,Jul-26,3787915,-14.15,87,Optimistic,08-04-2026,Denise Norton
FRC00299,CLT013,PRJ014,Jul-26,3896426,43.57,84,Conservative,09-04-2026,Martin Woods
FRC00300,CLT005,PRJ004,Aug-25,627692,13.26,97,Optimistic,24-05-2025,Joseph Shelton
FRC00301,CLT022,PRJ015,Feb-26,870234,-6.49,80,Conservative,27-11-2025,Julia Rose
FRC00302,CLT029,PRJ002,Feb-26,1462788,-12.85,67,Realistic,12-11-2025,Charles Miranda
FRC00303,CLT011,PRJ017,Aug-26,2864617,20.14,83,Conservative,23-05-2026,Ann Todd
FRC00304,CLT002,PRJ003,Dec-25,4286179,20.65,85,Realistic,10-09-2025,Justin Mckee
FRC00305,CLT002,PRJ007,Aug-26,4123737,30.15,91,Realistic,18-05-2026,Brandon Spears
FRC00306,CLT039,PRJ014,Jul-26,4233609,11.05,90,Realistic,23-04-2026,Tracy Stewart
FRC00307,CLT020,PRJ008,Mar-26,4821141,18.06,67,Conservative,25-12-2025,Katrina Howard
FRC00308,CLT012,PRJ013,Aug-26,888321,20.23,94,Optimistic,24-05-2026,Tammy Allen PhD
FRC00309,CLT011,PRJ016,May-26,4628031,22.11,69,Conservative,26-02-2026,Kevin Jones
FRC00310,CLT035,PRJ007,Mar-26,2719844,13.44,81,Optimistic,02-12-2025,Kevin White
FRC00311,CLT027,PRJ016,Jul-26,5203831,44.94,77,Conservative,28-04-2026,Michael Woods
FRC00312,CLT040,PRJ012,Jun-26,4417004,28.57,70,Conservative,01-04-2026,Terry Lin
FRC00313,CLT006,PRJ016,Dec-25,1936795,14.53,64,Realistic,09-09-2025,Timothy Mercado
FRC00314,CLT008,PRJ018,Jul-26,4394254,6.31,92,Optimistic,18-04-2026,Veronica Harris
FRC00315,CLT014,PRJ012,Aug-26,3175055,15.35,78,Conservative,15-05-2026,Jerry Reed
FRC00316,CLT027,PRJ012,Oct-25,2712513,16.78,70,Realistic,16-07-2025,Corey Mendez
FRC00317,CLT010,PRJ019,Sep-25,5557917,38.15,82,Conservative,17-06-2025,Kimberly Williams
FRC00318,CLT020,PRJ003,Aug-25,5989459,28.13,75,Realistic,27-05-2025,Christine Sanchez
FRC00319,CLT004,PRJ012,Jun-26,5738943,30.39,84,Conservative,30-03-2026,Christina Vargas
FRC00320,CLT034,PRJ019,Aug-26,4000165,27.7,76,Conservative,17-05-2026,Christina Rice
FRC00321,CLT032,PRJ014,May-26,1681264,14.09,67,Realistic,01-02-2026,Luis Sherman
FRC00322,CLT010,PRJ004,Oct-25,2760175,2.64,64,Optimistic,25-07-2025,Lisa Chapman
FRC00323,CLT037,PRJ015,Jan-26,3552094,28.2,94,Optimistic,18-10-2025,Valerie Baker
FRC00324,CLT006,PRJ006,Oct-25,294885,31.3,90,Conservative,14-07-2025,Thomas Morales
FRC00325,CLT035,PRJ006,Jan-26,3067465,34.78,61,Conservative,21-10-2025,Jordan Perkins
FRC00326,CLT008,PRJ004,Nov-25,1572896,0.33,86,Realistic,18-08-2025,Robert Nguyen
FRC00327,CLT013,PRJ008,Aug-26,5787908,30.14,95,Conservative,15-05-2026,Anthony Watson
FRC00328,CLT036,PRJ005,Jul-26,5780771,35.78,70,Optimistic,18-04-2026,Daniel Smith
FRC00329,CLT017,PRJ013,Mar-26,2333302,-12.27,81,Conservative,22-12-2025,Stefanie Walsh
FRC00330,CLT018,PRJ008,Mar-26,3156291,42.54,94,Optimistic,11-12-2025,Brian Smith
FRC00331,CLT035,PRJ001,Oct-25,4400942,43.32,82,Optimistic,05-07-2025,Nicholas Santana
FRC00332,CLT020,PRJ008,Jul-26,5287473,14.57,64,Conservative,26-04-2026,Mary Hayes
FRC00333,CLT017,PRJ019,Aug-25,2559441,1.46,91,Realistic,01-06-2025,Scott Woodard
FRC00334,CLT015,PRJ002,Oct-25,3961066,-14.69,66,Optimistic,03-07-2025,Nichole Golden
FRC00335,CLT022,PRJ009,Jun-26,1237670,34.95,80,Conservative,14-03-2026,Kyle Lee
FRC00336,CLT029,PRJ002,Jul-26,3913669,-11.65,66,Realistic,03-04-2026,Thomas Simmons
FRC00337,CLT034,PRJ011,Jun-26,1781613,20.71,63,Optimistic,21-03-2026,Patricia Clark
FRC00338,CLT023,PRJ010,Mar-26,5649597,13.17,72,Optimistic,19-12-2025,Emma Flores
FRC00339,CLT030,PRJ020,Mar-26,3058189,4.72,81,Conservative,27-12-2025,Stephen Tucker
FRC00340,CLT001,PRJ012,Jan-26,760201,-8.09,71,Optimistic,05-10-2025,Joshua Long
FRC00341,CLT007,PRJ001,Feb-26,1383294,38.1,69,Optimistic,10-11-2025,David Reynolds
FRC00342,CLT025,PRJ012,Jul-26,4479599,30.78,64,Optimistic,03-04-2026,Samuel English
FRC00343,CLT033,PRJ012,Aug-25,5316989,27.75,75,Realistic,28-05-2025,Bianca Wood
FRC00344,CLT025,PRJ019,Mar-26,3428021,-6.94,91,Realistic,25-12-2025,James Allen
FRC00345,CLT029,PRJ008,Jul-26,826552,35.56,81,Realistic,27-04-2026,Joseph Koch
FRC00346,CLT018,PRJ007,Sep-25,1597056,29.39,73,Realistic,04-06-2025,Jason Morris
FRC00347,CLT036,PRJ015,Sep-25,4620865,35.75,82,Realistic,02-07-2025,Amy Randall
FRC00348,CLT026,PRJ018,Feb-26,3720650,-5.78,65,Optimistic,19-11-2025,Melissa Meadows
FRC00349,CLT003,PRJ020,Dec-25,320745,39.68,70,Optimistic,21-09-2025,April Thornton
FRC00350,CLT005,PRJ013,Feb-26,2250587,10.93,85,Conservative,19-11-2025,Rebecca Robinson
FRC00351,CLT037,PRJ016,May-26,4890190,-9.53,85,Conservative,24-02-2026,Carrie Jenkins
FRC00352,CLT035,PRJ010,Apr-26,806650,39.13,89,Optimistic,25-01-2026,Robert Allen
FRC00353,CLT030,PRJ013,Dec-25,3686891,-14.36,90,Realistic,10-09-2025,Kyle Smith
FRC00354,CLT002,PRJ020,Nov-25,1691268,29.49,88,Conservative,19-08-2025,Gregory Mack
FRC00355,CLT034,PRJ004,Jul-26,3379148,-14.72,74,Optimistic,15-04-2026,James Baker
FRC00356,CLT011,PRJ002,Aug-25,5384418,4.36,60,Realistic,27-05-2025,Stephanie Collins
FRC00357,CLT018,PRJ020,Aug-26,514718,3.09,64,Realistic,22-05-2026,Victoria Clark
FRC00358,CLT025,PRJ017,Jul-26,2239256,44.3,78,Optimistic,07-04-2026,Carl Krause
FRC00359,CLT003,PRJ008,Sep-25,4851451,4.05,98,Realistic,10-06-2025,Eric White
FRC00360,CLT001,PRJ003,Feb-26,4560138,23.06,87,Optimistic,10-11-2025,Jeff Campbell
FRC00361,CLT037,PRJ015,Jun-26,2014092,42.06,98,Conservative,16-03-2026,Karen Carpenter
FRC00362,CLT017,PRJ013,Jun-26,3123727,18.73,83,Realistic,10-03-2026,Glen Klein
FRC00363,CLT005,PRJ014,Mar-26,480481,-5.26,62,Realistic,09-12-2025,Richard Vega
FRC00364,CLT010,PRJ009,Dec-25,4735890,-0.16,76,Conservative,24-09-2025,Sandy Goodwin
FRC00365,CLT025,PRJ019,Nov-25,4516054,19.36,93,Realistic,14-08-2025,James Clark
FRC00366,CLT011,PRJ006,May-26,2153469,-4.08,78,Optimistic,05-02-2026,Gary Dixon
FRC00367,CLT022,PRJ001,May-26,2126211,30.63,81,Conservative,01-02-2026,Jonathan Schultz
FRC00368,CLT022,PRJ011,Feb-26,2198252,7.71,83,Realistic,15-11-2025,Ryan Brown
FRC00369,CLT031,PRJ017,Mar-26,2134033,23.03,84,Realistic,01-12-2025,Audrey Wilson
FRC00370,CLT034,PRJ019,Feb-26,4884578,32.81,87,Conservative,18-11-2025,Amber White
FRC00371,CLT025,PRJ009,Nov-25,2763140,25.24,74,Optimistic,01-09-2025,Jonathan Glass
FRC00372,CLT008,PRJ003,May-26,1862874,-7.35,66,Realistic,04-02-2026,Leslie Hays
FRC00373,CLT010,PRJ010,Apr-26,2140985,-6.15,84,Optimistic,12-01-2026,Stephanie Shields
FRC00374,CLT014,PRJ008,Apr-26,660494,8.51,78,Conservative,17-01-2026,Sean Perkins
FRC00375,CLT007,PRJ005,Jun-26,6211597,35.99,96,Optimistic,03-03-2026,Lisa Juarez
FRC00376,CLT028,PRJ006,Jun-26,556894,-4.22,65,Realistic,24-03-2026,Don Stephens
FRC00377,CLT029,PRJ012,Mar-26,1321468,14.35,96,Optimistic,11-12-2025,Crystal Wilson
FRC00378,CLT035,PRJ006,Jul-26,278969,17.19,80,Optimistic,08-04-2026,Brandi Dennis
FRC00379,CLT011,PRJ003,Jan-26,2648700,43.8,93,Realistic,20-10-2025,Ryan Smith
FRC00380,CLT007,PRJ002,Jun-26,399176,36.37,89,Optimistic,24-03-2026,Jennifer Bell
FRC00381,CLT010,PRJ018,Jul-26,808156,44.72,77,Optimistic,04-04-2026,Lindsay Hays
FRC00382,CLT027,PRJ003,May-26,1043766,1.4,93,Realistic,27-02-2026,Garrett Christensen
FRC00383,CLT018,PRJ020,Oct-25,521803,8.37,83,Conservative,27-07-2025,Ronald Lopez
FRC00384,CLT027,PRJ015,Apr-26,4985500,2.21,96,Optimistic,26-01-2026,Desiree Valencia
FRC00385,CLT032,PRJ001,Jul-26,5420322,14.87,98,Realistic,26-04-2026,Dawn Collins
FRC00386,CLT015,PRJ006,May-26,3682313,42.15,96,Realistic,15-02-2026,Crystal Lopez
FRC00387,CLT003,PRJ015,Dec-25,4761809,21.93,65,Conservative,26-09-2025,Angela Roach
FRC00388,CLT032,PRJ001,Jun-26,2490607,7.46,72,Optimistic,31-03-2026,Alan Moore
FRC00389,CLT026,PRJ014,Aug-26,3376535,-3.06,67,Optimistic,18-05-2026,Robert Hernandez PhD
FRC00390,CLT023,PRJ017,Jul-26,2731451,5.53,75,Realistic,14-04-2026,James Davis
FRC00391,CLT016,PRJ014,Feb-26,4964525,28.83,63,Realistic,28-11-2025,Kelly Perez
FRC00392,CLT015,PRJ008,Jul-26,3861554,10.62,78,Realistic,01-05-2026,Karen Castillo
FRC00393,CLT012,PRJ009,Sep-25,3267642,-9.19,97,Realistic,14-06-2025,Gregory Hampton
FRC00394,CLT039,PRJ004,Jun-26,5506635,34.04,72,Realistic,05-03-2026,Catherine Melendez
FRC00395,CLT036,PRJ012,Mar-26,3668577,-10.94,94,Conservative,28-12-2025,Gerald Baldwin
FRC00396,CLT033,PRJ013,Jun-26,3493399,-2.58,70,Optimistic,28-03-2026,Joel Mcdaniel
FRC00397,CLT003,PRJ005,May-26,2957670,32.44,68,Realistic,17-02-2026,Joseph Butler
FRC00398,CLT001,PRJ012,Mar-26,3219613,17.24,77,Optimistic,09-12-2025,Jasmine Williams
FRC00399,CLT010,PRJ015,Dec-25,4423344,13.74,98,Optimistic,12-09-2025,Elizabeth Romero
FRC00400,CLT016,PRJ015,Jun-26,4428336,28.61,98,Optimistic,15-03-2026,Cole Garrett
FRC00401,CLT022,PRJ003,Nov-25,1576800,38.54,94,Realistic,03-08-2025,Shane Harris
FRC00402,CLT001,PRJ008,Jun-26,2216995,6.2,83,Optimistic,24-03-2026,Anna Soto
FRC00403,CLT028,PRJ017,May-26,1792136,25.04,80,Optimistic,02-02-2026,Justin Campbell
FRC00404,CLT031,PRJ003,Jul-26,5616788,-6.32,86,Conservative,02-05-2026,Derrick Wolf
FRC00405,CLT035,PRJ018,Jul-26,2392416,27.9,82,Realistic,15-04-2026,Nicole Huang
FRC00406,CLT030,PRJ005,Apr-26,4988509,34.67,98,Optimistic,15-01-2026,Kristin Reed
FRC00407,CLT006,PRJ008,Apr-26,197919,9.99,62,Conservative,26-01-2026,Teresa Giles
FRC00408,CLT001,PRJ013,Aug-26,4062743,27.68,74,Realistic,17-05-2026,Dr. Bryan Rowland MD
FRC00409,CLT039,PRJ003,Mar-26,5166125,23.51,78,Optimistic,23-12-2025,Derrick Gutierrez
FRC00410,CLT039,PRJ001,Nov-25,2965809,40.75,92,Optimistic,14-08-2025,Roy Lee
FRC00411,CLT023,PRJ005,Apr-26,936492,29.49,74,Optimistic,26-01-2026,Robert Gardner
FRC00412,CLT011,PRJ017,Jan-26,5113172,32.12,79,Conservative,28-10-2025,Julie Mcbride
FRC00413,CLT007,PRJ015,May-26,1708009,1.81,83,Realistic,08-02-2026,Christian Howell
FRC00414,CLT009,PRJ015,Sep-25,5105529,-9.99,84,Optimistic,16-06-2025,Charles Paul
FRC00415,CLT025,PRJ015,Jan-26,1101388,23.55,81,Conservative,30-10-2025,Donald Tapia
FRC00416,CLT031,PRJ004,Nov-25,4225094,41.91,77,Realistic,16-08-2025,Casey Daniels
FRC00417,CLT005,PRJ009,Sep-25,819433,10.18,94,Conservative,07-06-2025,Ricardo Peterson
FRC00418,CLT023,PRJ019,Jun-26,143088,20.83,93,Conservative,26-03-2026,Robert Campbell
FRC00419,CLT029,PRJ019,Jul-26,456588,26.79,91,Conservative,17-04-2026,Kyle Cantu
FRC00420,CLT023,PRJ018,Feb-26,5271568,40.58,66,Optimistic,16-11-2025,Theresa Kaiser
FRC00421,CLT027,PRJ004,Nov-25,5967364,15.2,86,Conservative,15-08-2025,Holly Cunningham
FRC00422,CLT001,PRJ012,Jun-26,2177969,37.78,81,Optimistic,21-03-2026,David Zamora
FRC00423,CLT026,PRJ007,Nov-25,4156195,-7.27,95,Optimistic,29-08-2025,Gavin Smith
FRC00424,CLT002,PRJ014,Jan-26,1697611,7.94,63,Realistic,21-10-2025,Joseph Smith
FRC00425,CLT038,PRJ004,Nov-25,4403161,-6.49,64,Optimistic,21-08-2025,Suzanne Larson
FRC00426,CLT021,PRJ015,Dec-25,1748850,39.22,67,Optimistic,14-09-2025,Katrina Jennings
FRC00427,CLT034,PRJ017,Dec-25,1406121,38.91,92,Realistic,20-09-2025,Sherry Key MD
FRC00428,CLT018,PRJ013,Jun-26,6371579,3.7,64,Realistic,18-03-2026,Alan Turner
FRC00429,CLT038,PRJ014,Aug-26,5817386,-8.12,81,Optimistic,17-05-2026,Jamie Combs
FRC00430,CLT015,PRJ018,Dec-25,3550213,16.64,62,Realistic,18-09-2025,Tyler Newton
FRC00431,CLT011,PRJ020,Jan-26,4054545,2.1,90,Optimistic,19-10-2025,Jonathan Oneill
FRC00432,CLT020,PRJ009,Nov-25,3535709,31.48,66,Realistic,05-08-2025,Connor Bass
FRC00433,CLT011,PRJ003,Feb-26,3546571,37.08,68,Conservative,09-11-2025,Ethan Stephens
FRC00434,CLT010,PRJ019,Aug-26,4249460,-7.66,95,Optimistic,20-05-2026,Jesse Nelson
FRC00435,CLT014,PRJ003,Nov-25,4998742,25.23,68,Optimistic,11-08-2025,Megan Simmons
FRC00436,CLT040,PRJ017,May-26,4278985,10.39,93,Realistic,23-02-2026,Lori Webster
FRC00437,CLT036,PRJ003,Jun-26,4412081,15.13,93,Conservative,27-03-2026,Kimberly Sanchez
FRC00438,CLT004,PRJ008,Aug-26,2137646,-12.86,70,Optimistic,15-05-2026,Megan Thompson
FRC00439,CLT039,PRJ010,Jan-26,94060,39.47,90,Realistic,11-10-2025,Danielle Stephens
FRC00440,CLT005,PRJ006,May-26,157521,19.99,81,Realistic,17-02-2026,Jacob Mckenzie
FRC00441,CLT017,PRJ016,Nov-25,3922872,6.16,96,Conservative,25-08-2025,Bonnie Hughes
FRC00442,CLT006,PRJ007,Mar-26,3906215,22.61,67,Realistic,30-12-2025,Stephanie Howard
FRC00443,CLT023,PRJ010,Aug-25,131318,12.98,91,Realistic,27-05-2025,Deborah Hernandez
FRC00444,CLT001,PRJ002,Sep-25,1447042,32.12,84,Realistic,29-06-2025,Brandon Smith
FRC00445,CLT020,PRJ020,Feb-26,1941829,37.56,66,Optimistic,04-11-2025,Jonathan Duncan
FRC00446,CLT033,PRJ012,Jul-26,3590341,42.69,63,Realistic,01-05-2026,Ryan Farmer
FRC00447,CLT030,PRJ017,Sep-25,629813,34.79,95,Conservative,02-07-2025,Elizabeth Greer
FRC00448,CLT010,PRJ010,Jun-26,2882304,26.27,63,Optimistic,09-03-2026,Aaron Lewis
FRC00449,CLT016,PRJ018,Oct-25,4632980,10.94,77,Realistic,12-07-2025,Kristi Horne
FRC00450,CLT027,PRJ014,Sep-25,299806,18.85,70,Realistic,17-06-2025,Christopher Dorsey
FRC00451,CLT023,PRJ017,Nov-25,5428148,-5.92,68,Conservative,25-08-2025,Dawn Moss
FRC00452,CLT038,PRJ020,Dec-25,3773089,36.12,63,Conservative,09-09-2025,John Gaines
FRC00453,CLT005,PRJ015,Feb-26,4018232,4.27,93,Optimistic,24-11-2025,Michelle Baker
FRC00454,CLT007,PRJ007,Aug-26,1500131,31.46,64,Realistic,20-05-2026,Kimberly Taylor
FRC00455,CLT005,PRJ019,May-26,1339928,-8.95,85,Conservative,31-01-2026,John Ray
FRC00456,CLT008,PRJ019,Sep-25,2546096,5.28,64,Realistic,25-06-2025,Kelly Schroeder
FRC00457,CLT006,PRJ018,Oct-25,1362072,-8.76,63,Realistic,12-07-2025,Mary Melendez
FRC00458,CLT028,PRJ014,Mar-26,1621380,38.83,60,Conservative,24-12-2025,Whitney Johnson
FRC00459,CLT004,PRJ005,Dec-25,1950779,5.98,91,Conservative,01-10-2025,Matthew Scott
FRC00460,CLT015,PRJ015,Aug-26,3393890,18.08,93,Optimistic,24-05-2026,Nicole Choi
FRC00461,CLT008,PRJ012,Jun-26,1587375,11.42,84,Realistic,17-03-2026,Isabel Mcgee
FRC00462,CLT003,PRJ008,May-26,3689500,-11.86,95,Realistic,18-02-2026,Sarah Jackson
FRC00463,CLT035,PRJ015,May-26,5332676,16.13,77,Realistic,05-02-2026,Kimberly Young
FRC00464,CLT039,PRJ001,Jul-26,3119959,-4.27,95,Realistic,30-04-2026,Jasmine Gilbert
FRC00465,CLT018,PRJ009,Sep-25,5510074,-4.53,63,Conservative,23-06-2025,Nathan Gentry
FRC00466,CLT023,PRJ018,May-26,511182,-8.45,61,Realistic,13-02-2026,Jill Holder
FRC00467,CLT027,PRJ012,May-26,2862236,7.1,97,Optimistic,20-02-2026,Jennifer Harris
FRC00468,CLT006,PRJ003,Jan-26,2456439,22.82,96,Realistic,07-10-2025,Christopher Lee
FRC00469,CLT024,PRJ008,Jul-26,3535987,28.97,96,Optimistic,04-04-2026,Christopher Jackson
FRC00470,CLT038,PRJ005,Dec-25,2399656,3.83,66,Optimistic,16-09-2025,Kenneth Cox
FRC00471,CLT011,PRJ003,Dec-25,4754795,10.34,82,Realistic,22-09-2025,David Boyd
FRC00472,CLT028,PRJ010,Feb-26,5186022,-3.99,66,Optimistic,06-11-2025,Jacob Russell
FRC00473,CLT037,PRJ017,Dec-25,5059726,40.68,67,Realistic,07-09-2025,Eric Carrillo
FRC00474,CLT011,PRJ010,Oct-25,2782654,40.47,61,Realistic,29-07-2025,Robert Guerrero
FRC00475,CLT029,PRJ017,Sep-25,5027517,27.38,92,Realistic,08-06-2025,Phillip Dean
FRC00476,CLT033,PRJ003,Jul-26,3466469,40.94,69,Realistic,03-04-2026,Rhonda Ferguson
FRC00477,CLT019,PRJ005,Nov-25,950782,11.06,79,Optimistic,08-08-2025,Matthew White
FRC00478,CLT026,PRJ020,Jul-26,6170183,-1.86,85,Conservative,24-04-2026,Brenda Johnson
FRC00479,CLT032,PRJ020,Jan-26,2660420,15.45,77,Realistic,27-10-2025,Matthew Sutton
FRC00480,CLT003,PRJ010,Jan-26,3877888,-5.01,81,Realistic,23-10-2025,Michelle Miller
FRC00481,CLT004,PRJ017,Feb-26,3608226,35.29,93,Optimistic,16-11-2025,Isaiah Myers
FRC00482,CLT011,PRJ010,Jan-26,268612,26.28,94,Conservative,06-10-2025,Rodney Miller
FRC00483,CLT026,PRJ007,Jan-26,3044198,29.61,90,Realistic,08-10-2025,Michael Clarke
FRC00484,CLT025,PRJ001,Jan-26,3745066,-8.5,95,Optimistic,05-10-2025,Jason Ross
FRC00485,CLT006,PRJ005,Mar-26,4503693,19,95,Realistic,18-12-2025,William Andrews
FRC00486,CLT016,PRJ011,Nov-25,5208790,29.38,88,Optimistic,30-08-2025,Nancy Lucas
FRC00487,CLT034,PRJ016,Mar-26,5477339,2.81,90,Realistic,09-12-2025,Kayla Dickerson
FRC00488,CLT009,PRJ006,Apr-26,4794505,-4.25,82,Conservative,15-01-2026,Judy Garcia
FRC00489,CLT001,PRJ007,Jan-26,3088173,10.57,68,Conservative,26-10-2025,Anne Thompson
FRC00490,CLT037,PRJ019,May-26,3142417,21.95,63,Optimistic,27-02-2026,Malik Martin
FRC00491,CLT031,PRJ011,Aug-26,4940603,18.61,87,Conservative,17-05-2026,Christopher Washington
FRC00492,CLT017,PRJ004,Oct-25,4293825,-13.48,60,Conservative,14-07-2025,Danny Sheppard
FRC00493,CLT024,PRJ009,Jan-26,197564,23.83,90,Conservative,15-10-2025,Tina Lamb
FRC00494,CLT007,PRJ002,May-26,321989,27.34,81,Conservative,01-03-2026,Thomas Schwartz
FRC00495,CLT038,PRJ012,Sep-25,180434,25.06,60,Realistic,16-06-2025,Charlotte Nelson
FRC00496,CLT022,PRJ015,Oct-25,831809,-8.02,75,Realistic,08-07-2025,Bill Rodriguez
FRC00497,CLT013,PRJ005,May-26,543233,-4.32,97,Realistic,12-02-2026,Darrell Murray
FRC00498,CLT029,PRJ006,May-26,6685637,19.12,73,Realistic,07-02-2026,Amy Coleman
FRC00499,CLT012,PRJ016,Jun-26,4951979,18.83,71,Realistic,07-03-2026,Lisa Moore
FRC00500,CLT012,PRJ001,Aug-26,4537587,11.1,86,Realistic,05-05-2026,Lisa Zimmerman
